,Unnamed: 0,SXS_num,M_rem,chi_rem,chi_1_z,chi_2_z,q,l,m,retro,mode_string,A_med,A_hi,A_low,phi_med,phi_hi,phi_low,t_flat_start
0,0,1,0.951609417715,0.686461676493,1.20930921804e-07,1.22196915414e-07,0.9999999899440032,2,2,False,2.2.0,0.9573035025688416,0.96137847603568,0.9558015186034736,-0.7083846222747545,-0.6889648086330451,-0.7095753020545957,6.6000000000000005
1,0,1,0.951609417715,0.686461676493,1.20930921804e-07,1.22196915414e-07,0.9999999899440032,2,2,False,constant,0.0005110566266908,0.0005123132812288,0.0004974331110251,0.7156170906009787,0.7331172967028312,0.7115296911447881,15.0
2,0,1,0.951609417715,0.686461676493,1.20930921804e-07,1.22196915414e-07,0.9999999899440032,3,2,False,2.2.0,0.0651153716456203,0.0654838788309493,0.0645838640940431,-6.928516660016785,-6.910549810679231,-6.939225444349237,0.0
3,0,1,0.951609417715,0.686461676493,1.20930921804e-07,1.22196915414e-07,0.9999999899440032,3,2,False,constant,5.133336974704849e-05,5.206912023373408e-05,5.055340164554414e-05,-1.010907404539871,-0.9882415460399718,-1.0345085003255474,0.0
4,0,1,0.951609417715,0.686461676493,1.20930921804e-07,1.22196915414e-07,0.9999999899440032,3,2,False,3.2.0,0.0326308589800695,0.0331143108997974,0.0321191971325242,-10.952527440501688,-10.935550380086,-11.01481012273488,5.0
5,0,1,0.951609417715,0.686461676493,1.20930921804e-07,1.22196915414e-07,0.9999999899440032,4,4,False,4.4.0,0.0731694605418156,0.0838947726504429,0.063098120924145,-6.522655010497483,-6.273865121956129,-6.718909051613056,
6,0,1,0.951609417715,0.686461676493,1.20930921804e-07,1.22196915414e-07,0.9999999899440032,4,4,False,constant,0.0003991646836871,0.0004487947096099,0.0003732487042676,-0.4447957873013788,-0.3375742739885781,-0.5092067092118882,0.0
7,0,1,0.951609417715,0.686461676493,1.20930921804e-07,1.22196915414e-07,0.9999999899440032,2,0,False,2.0.0,0.0168326266501377,0.0183505851371425,0.0166125170009324,-0.7485774416856716,-0.7374888239752158,-0.7858378047971921,10.2
8,0,1,0.951609417715,0.686461676493,1.20930921804e-07,1.22196915414e-07,0.9999999899440032,2,0,False,constant,5.697892332930458e-07,3.168596489232302e-06,1.8314968614603665e-07,3.890716614143469e-05,0.0002753456112379,-0.0002507678714848,0.0
9,0,1,0.951609417715,0.686461676493,1.20930921804e-07,1.22196915414e-07,0.9999999899440032,2,0,False,-2.99.0,0.0168326276903225,0.0183505860054188,0.0166125161196115,0.7485774908850011,0.7858378017262928,0.7374889819597259,10.2
10,0,2,0.951609624635,0.686447876542,9.48400673307e-08,9.3147982293e-08,0.9999999983300004,2,2,False,2.2.0,0.9651379615141862,0.9728053239495454,0.9432225541172636,-3.622344259061277,-3.584023042709778,-3.669718529213105,6.7
11,0,2,0.951609624635,0.686447876542,9.48400673307e-08,9.3147982293e-08,0.9999999983300004,2,2,False,constant,0.0034641064207208,0.003489150449678,0.0033694887677735,-2.958073115868086,-2.936926521646189,-2.990890945904378,8.0
12,0,2,0.951609624635,0.686447876542,9.48400673307e-08,9.3147982293e-08,0.9999999983300004,4,4,False,constant,0.0016171074325297,0.001626752856759,0.0016023520301001,0.1910552156224862,0.1997430344755565,0.175787910180126,0.0
13,0,2,0.951609624635,0.686447876542,9.48400673307e-08,9.3147982293e-08,0.9999999983300004,4,4,False,4.4.0,0.0941248091285354,0.1115307504359044,0.0836085788679854,-13.393667880072828,-12.627861577757637,-13.847635286458337,
14,0,2,0.951609624635,0.686447876542,9.48400673307e-08,9.3147982293e-08,0.9999999983300004,3,2,False,3.2.0,0.0706170027994887,0.0749620913944573,0.0674262359980327,-8.065216324183831,-7.951244778357596,-8.264807325502424,10.1
15,0,2,0.951609624635,0.686447876542,9.48400673307e-08,9.3147982293e-08,0.9999999983300004,3,2,False,2.2.0,0.0629819878842122,0.066564439072657,0.0588397162231503,-3.6341334448488607,-3.5306464612289417,-3.661777064387571,3.8
16,0,2,0.951609624635,0.686447876542,9.48400673307e-08,9.3147982293e-08,0.9999999983300004,3,2,False,constant,0.0002349248329529,0.0002392153454581,0.0002317572617994,0.9704318646119144,0.986604780063235,0.950870088296698,0.0
17,0,2,0.951609624635,0.686447876542,9.48400673307e-08,9.3147982293e-08,0.9999999983300004,2,0,False,-2.99.0,0.0169661781262424,0.0189380407718096,0.0161283846022205,0.7543701503108329,0.7970464115840814,0.5712159250071283,10.2
18,0,2,0.951609624635,0.686447876542,9.48400673307e-08,9.3147982293e-08,0.9999999983300004,2,0,False,constant,6.486606430175648e-05,7.227761733326235e-05,5.671201555532548e-05,-1.4584126931255024e-06,-1.1337300781685078e-06,-1.8620831522433848e-06,0.0
19,0,2,0.951609624635,0.686447876542,9.48400673307e-08,9.3147982293e-08,0.9999999983300004,2,0,False,2.0.0,0.0169661810929809,0.0189380417078311,0.0161283793202346,-0.7543704664200026,-0.5712158693413159,-0.7970463626533418,10.2
20,0,4,0.957720872946,0.608209224498,-0.499501999999,1.40554629323e-07,1.0004591540143728,2,2,False,constant,0.0001746231675507,0.0001763910843579,0.0001709447839945,1.2270216567327958,1.241856333441807,1.2246264165357763,6.2
21,0,4,0.957720872946,0.608209224498,-0.499501999999,1.40554629323e-07,1.0004591540143728,2,2,False,2.2.0,0.9373385889128888,0.9389896672341276,0.9361852051532938,-0.266514457831571,-0.2638972403325061,-0.2670316902483536,0.0
